steadyGAGeneration,gDiffusionRate,gEvaporationRate,medNumberFood1,medNumberFood2,medNumberFood3
2001,69.17002471995053,7.872386984559772,204.0,372.5,793.5
2001,49.036695980387734,7.210744969204987,207.0,364.0,805.5
2001,18.566289158020812,4.637501596739534,237.5,400.5,591.0
2001,65.14348330692812,9.248759509783591,200.0,513.0,803.5
2001,19.444545396930934,4.988552953860481,236.0,388.5,598.0
2001,49.07733911867698,8.422199821338214,201.5,367.5,808.5
2001,21.746596727529848,5.658968742779277,222.5,383.0,616.0
2001,25.917280303320062,6.075023133253514,222.0,380.0,783.0
2001,59.24486543801185,8.540774078074305,201.5,372.5,810.5
2001,40.98878650323339,5.014685217381874,227.0,386.5,619.5
2001,69.3084087693429,8.676670692988107,199.0,511.0,818.5
2001,49.90062708254417,8.228840446338214,201.0,386.0,811.0
2001,69.939712012398,7.925096928067613,206.5,371.0,801.0
2001,30.832454725639156,4.688328621373602,222.5,392.0,607.0
2001,52.65557469926201,8.508857620007907,205.0,363.0,811.0
2001,58.39729997540039,8.649483031268392,203.5,382.5,798.5
2001,50.22664038438303,7.604679968106767,204.5,365.5,807.5
2001,33.103059783524174,5.292691286401094,220.5,394.5,611.5
2001,50.0506231042518,8.398060080572447,214.0,360.5,808.0
2001,26.617932433935774,6.027956887782403,224.5,378.5,792.5
2001,75.46858341406654,8.471240871896415,199.5,391.5,817.5
2001,29.56643519082952,5.453393764503067,222.0,391.0,609.5
2001,30.01600100781525,5.846124812591929,216.5,389.0,708.5
2001,63.683142740191606,8.931294623385975,196.0,379.5,820.0
2001,57.524769314347,7.439523383797774,216.0,360.5,812.0
2001,60.63891466583992,7.036918217806522,214.0,361.0,811.0
2001,52.49798251362069,8.38151764676711,209.0,365.5,803.0
2001,47.94030908757358,8.105548809514909,203.0,368.5,816.5
2001,69.15122831187612,8.908833174774722,202.0,401.5,801.5
2001,24.5240673834504,4.9523831935722535,235.5,390.0,611.5
2001,20.319290837039063,5.127692311941473,226.5,392.0,593.5
2001,19.888299831228565,4.661849539291266,233.0,402.5,590.5
2001,43.24582980021116,7.373703925265447,218.0,357.0,807.0
2001,63.07506682855466,8.025863830160123,206.0,370.5,803.5
2001,25.023003183381412,5.435636494612032,219.5,393.0,609.0
2001,48.66281987847498,7.775142038831637,208.0,358.5,813.0
2001,57.15688701556277,8.744944071372045,204.5,376.5,800.5
2001,23.80971417954826,5.319147368082787,222.5,393.5,598.5
2001,59.441001228727195,11.359334431474233,195.5,510.0,1000.5
2001,62.88292248601824,8.031371288422216,211.0,363.0,797.5
2001,83.58438803360052,11.674019055421411,192.0,514.0,1045.0
2001,53.24379485117359,8.73369019120767,205.5,364.0,814.0
2001,70.47504925200265,7.938017686254046,207.5,372.0,796.5
2001,83.94799111782147,11.340429974528355,194.0,516.0,975.0
2001,53.45285106146242,8.386882926391387,210.0,360.5,815.0
2001,71.11763053284389,8.41746188411025,200.0,374.5,816.0
2001,19.89770579160071,5.153237887686152,238.0,409.0,589.0
2001,99.0,10.91814152699424,192.5,514.5,1023.0
2001,66.15208876117363,8.008049024075257,203.0,365.0,818.5
2001,69.37707277727277,8.08090113560525,205.5,432.0,794.0
2001,26.19391661022001,5.8319818001625805,223.0,382.0,703.5
2001,19.589749438167367,5.441022675955262,231.5,390.0,604.5
2001,68.52349996146373,9.18840101309992,202.0,518.5,799.0
2001,22.71627111634577,6.711747853834938,229.0,379.0,783.0
2001,54.05721741770451,7.564948027858764,219.0,362.0,804.5
2001,69.4428019042296,7.866312527429527,211.5,365.0,795.0
2001,22.942772887257807,5.497221090277158,231.0,384.0,612.0
2001,26.78961731867589,5.161758616762162,237.0,393.0,595.5
2001,71.85091556792244,7.753232058580887,210.5,364.0,805.5
2001,27.480029151082743,5.176245295938543,226.5,394.5,593.5
2001,58.06407474069215,8.362784131901245,200.0,377.5,800.0
2001,38.60919427104986,5.4376174333796286,221.0,384.0,786.5
2001,54.411950459194415,9.413217376561159,196.0,381.5,827.0
2001,64.91172907392966,8.362428130037612,201.5,383.0,807.5
2001,87.05844602264882,9.417288698763269,194.5,517.5,911.5
2001,22.72923424861996,5.8771157842726485,226.0,377.5,639.0
2001,33.884933788968354,5.842874266367687,223.0,377.5,789.5
2001,24.44444238459475,5.099921840677959,229.5,394.0,595.0
2001,84.13461266677464,10.531742689740387,192.0,518.5,940.0
2001,62.76956117477406,7.797255491620222,212.5,363.0,805.0
2001,20.76050269822631,5.286278288959066,232.0,392.0,603.0
2001,33.40596378686293,5.170413437633918,222.0,383.0,631.5
2001,31.54731857729147,5.469124705773723,216.0,387.0,775.0
2001,60.89567772128883,9.055743454723059,200.5,443.0,804.5
2001,55.31287266747534,8.385172819999305,205.0,368.5,805.5
2001,99.0,12.868596342132811,194.5,505.0,1294.5
2001,60.86030009602596,8.59392565507449,200.0,371.0,824.0
2001,35.64271217411213,7.130619380737861,209.5,360.0,829.5
2001,35.562882989281256,4.9319071195718935,226.0,387.5,612.0
2001,13.079343147766808,5.109992512011544,244.0,417.0,590.5
2001,56.47481766298455,9.545630694852846,202.5,368.5,850.5
2001,19.193171777086455,4.752862633876073,230.5,409.5,592.0
2001,63.70061024656572,7.749966689223668,208.5,363.0,806.0
2001,63.412746151855195,8.079370059193726,206.5,380.0,790.5
2001,16.863027114822227,4.785985062982829,237.0,399.5,591.5
2001,60.15980270767232,9.117197003785924,200.0,467.5,807.0
2001,64.85018825452451,8.655831400413343,204.0,380.0,799.5
2001,91.41774591767076,10.901031278984279,194.0,516.0,958.5
2001,18.807106887842746,6.198043833571238,236.0,383.0,610.5
2001,64.57457645781548,7.79259102815114,208.0,379.0,784.5
2001,31.27159989309561,5.392819595917689,224.0,381.5,754.0
2001,66.9680070402364,9.852405453284831,195.0,505.0,867.5
2001,35.988866054207904,9.018953719907168,219.0,359.5,810.0
2001,27.109244154796684,6.11531815248759,226.0,379.5,765.0
2001,56.36666819287544,8.124835727353664,206.0,366.5,793.5
2001,74.96014144218599,8.3594178242929,202.0,518.0,796.0
2001,57.67806900365576,8.495091745290496,200.0,392.5,813.0
2001,31.463445429321517,5.157900699251756,226.5,381.0,620.5
2001,25.889717039833826,5.142770771739986,223.5,396.5,601.0
2001,66.96962747912217,7.840998719197722,202.0,373.5,807.0
