i,gPopulation,gDiffusionRate,gEvaporationRate,medNumberFood1,medNumberFood2,medNumberFood3
0.0,125.0,25.0,25.0,332.0,1268.5,2335.0
1.0,125.0,25.0,25.0,310.0,1290.0,2311.5
2.0,125.0,25.0,25.0,321.5,1193.0,2337.5
3.0,125.0,25.0,25.0,309.5,1263.0,2347.5
4.0,125.0,25.0,25.0,330.5,1270.0,2396.0
5.0,125.0,25.0,25.0,308.5,1240.5,2313.0
6.0,125.0,25.0,25.0,325.5,1225.0,2353.0
7.0,125.0,25.0,25.0,337.0,1175.0,2413.5
8.0,125.0,25.0,25.0,318.0,1272.0,2324.5
9.0,125.0,25.0,25.0,311.5,1219.0,2332.5
10.0,125.0,25.0,25.0,311.0,1253.0,2304.5
